FireYear,SiteType,Plot,Round,Trap,Species,Caste,Abundance
2010,Fire,S4,2,BV1,mixtus,queen,1
2010,Fire,S4,2,BV1,insularis,male,1
2010,Fire,S4,2,BV2,bifarius,worker,5
2010,Fire,S4,2,BV2,melanopygus,worker,1
2010,Fire,S4,2,BV2,melanopygus,male,1
2010,Fire,S4,2,BV2,flavifrons,worker,2
2010,Fire,S4,2,BV2,flavifrons,queen,1
2010,Fire,S4,2,BV2,mixtus,worker,2
2010,Fire,S4,2,BV3,mixtus,worker,2
2010,Fire,S4,2,BV3,bifarius,worker,3
2010,Fire,S4,2,BV3,flavifrons,worker,1
2010,Forest,F1,2,BV1,NA,NA,0
2010,Forest,F1,2,BV2,mixtus,worker,1
2010,Forest,F1,2,BV3,mixtus,worker,2
2010,Forest,F2,2,BV1,NA,NA,0
2010,Forest,F2,2,BV2,flavifrons,worker,1
2010,Forest,F2,2,BV3,flavifrons,worker,1
2010,Forest,F3,2,BV1,flavifrons,male,1
2010,Forest,F3,2,BV2,NA,NA,0
2010,Forest,F3,2,BV3,flavifrons,worker,1
2010,Forest,F4,2,BV1,flavifrons,queen,1
2010,Forest,F4,2,BV1,bifarius,male,1
2010,Forest,F4,2,BV1,bifarius,worker,1
2010,Forest,F4,2,BV2,mixtus,worker,1
2010,Forest,F4,2,BV3,flavifrons,male,1
2017,Fire,S1,2,BV1,bifarius,worker,1
2017,Fire,S1,2,BV1,mixtus,worker,1
2017,Fire,S1,2,BV1,rufocinctus,male,1
2017,Fire,S1,2,BV2,bifarius,worker,2
2017,Fire,S1,2,BV3,bifarius,worker,2
2017,Fire,S1,2,BV3,rufocinctus,worker,1
2017,Fire,S2,2,BV1,melanopygus,worker,1
2017,Fire,S2,2,BV1,rufocinctus,queen,1
2017,Fire,S2,2,BV1,flavifrons,queen,1
2017,Fire,S2,2,BV2,NA,NA,0
2017,Fire,S2,2,BV3,flavifrons,male,1
2017,Fire,S3,2,BV1,melanopygus,queen,1
2017,Fire,S3,2,BV1,melanopygus,worker,1
2017,Fire,S3,2,BV1,mixtus,worker,1
2017,Fire,S3,2,BV1,rufocinctus,worker,2
2017,Fire,S3,2,BV2,bifarius,male,1
2017,Fire,S3,2,BV3,bifarius,worker,1
2017,Fire,S3,2,BV3,rufocinctus,worker,1
2017,Fire,S4,2,BV1,bifarius,worker,1
2017,Fire,S4,2,BV1,mixtus,worker,1
2017,Fire,S4,2,BV1,sitkensis,worker,1
2017,Fire,S4,2,BV2,bifarius,worker,1
2017,Fire,S4,2,BV2,mixtus,worker,1
2017,Fire,S4,2,BV2,flavifrons,worker,1
2017,Fire,S4,2,BV3,melanopygus,worker,1
2017,Fire,S4,2,BV3,mixtus,worker,1
2017,Forest,F1,2,BV1,NA,NA,0
2017,Forest,F1,2,BV2,NA,NA,0
2017,Forest,F1,2,BV3,insularis,queen,1
2017,Forest,F1,2,BV3,flavifrons,queen,1
2017,Forest,F1,2,BV3,flavifrons,male,1
2017,Forest,F1,2,BV3,sitkensis,male,1
2017,Forest,F2,2,BV1,mixtus,worker,1
2017,Forest,F2,2,BV2,flavifrons,worker,3
2017,Forest,F2,2,BV2,flavifrons,male,1
2017,Forest,F2,2,BV2,mixtus,worker,2
2017,Forest,F2,2,BV2,sitkensis,male,1
2017,Forest,F2,2,BV3,flavifrons,queen,1
2017,Forest,F2,2,BV3,mixtus,male,1
2017,Forest,F3,2,BV1,flavifrons,male,1
2017,Forest,F3,2,BV2,bifarius,queen,1
2017,Forest,F3,2,BV2,bifarius,worker,1
2017,Forest,F3,2,BV2,flavifrons,male,1
2017,Forest,F3,2,BV2,mixtus,queen,1
2017,Forest,F3,2,BV3,sitkensis,worker,1
2017,Forest,F3,2,BV3,sitkensis,queen,1
2017,Forest,F4,2,BV1,NA,NA,0
2017,Forest,F4,2,BV2,NA,NA,0
2017,Forest,F4,2,BV3,NA,NA,0
2018,Fire,S1,2,BV1,bifarius,worker,2
2018,Fire,S1,2,BV1,mixtus,worker,1
2018,Fire,S1,2,BV1,flavifrons,male,1
2018,Fire,S1,2,BV1,flavidus,male,1
2018,Fire,S1,2,BV2,melanopygus,queen,1
2018,Fire,S1,2,BV2,melanopygus,worker,1
2018,Fire,S1,2,BV2,melanopygus,male,1
2018,Fire,S1,2,BV2,mixtus,worker,1
2018,Fire,S1,2,BV2,bifarius,worker,1
2018,Fire,S1,2,BV2,flavifrons,worker,1
2018,Fire,S1,2,BV3,melanopygus,worker,2
2018,Fire,S1,2,BV3,bifarius,worker,1
2018,Fire,S1,2,BV3,bifarius,male,1
2018,Fire,S1,2,BV3,mixtus,male,1
2018,Forest,F1,2,BV1,NA,NA,0
2018,Forest,F1,2,BV2,NA,NA,0
2018,Forest,F1,2,BV3,bifarius,worker,1
2018,Forest,F1,2,BV3,mixtus,worker,1
