FireYear,Plot,SiteType,Day,Month,Round,Transect,PlantCommonName,PlantLatinName,FlowerCount,PlantCount,OutsideTransectCount
2010,S3,Fire,7,7,1,East,Twinflower,Linnea borealis,93,11,4
2010,S3,Fire,7,7,1,East,Yarrow,Achillea millefolium,380,27,4
2010,S3,Fire,7,7,1,East,arctic lupin,Lupinus arcticus ,665,54,4
2010,S3,Fire,7,7,1,West,Sitka valerian,Valeriana sitchensis,262,17,4
2010,S3,Fire,7,7,1,West,Yarrow,Achillea millefolium,31,4,4
2010,S3,Fire,7,7,1,West,Bunchberry,Cornus canadensis,13,13,4
2010,S3,Fire,7,7,1,West,arnica,Arnica sp.,21,21,4
2010,S3,Fire,7,7,1,West,arctic lupin,Lupinus arcticus ,119,24,4
2009,F3,Forest,8,7,1,North,pink mountain heather,Phyllodoce empetriformis,306,93,2
2009,F3,Forest,8,7,1,North,Sitka valerian,Valeriana sitchensis,225,37,2
2009,F3,Forest,8,7,1,North,arctic lupin,Lupinus arcticus ,215,17,2
2009,F3,Forest,8,7,1,North,Marsh Marigold,Caltha leptosepala,1,1,2
2009,F3,Forest,8,7,1,West,arctic lupin,Lupinus arcticus ,101,9,2
2009,F3,Forest,8,7,1,West,Sitka valerian,Valeriana sitchensis,338,38,2
2009,F3,Forest,8,7,1,West,pink mountain heather,Phyllodoce empetriformis,91,23,2
2009,F3,Forest,8,7,1,West,Bracted lousewort,Pedicularis bracteosa,4,2,2
2009,F3,Forest,8,7,1,South,pink mountain heather,Phyllodoce empetriformis,503,114,2
2009,F3,Forest,8,7,1,South,arctic lupin,Lupinus arcticus ,143,15,2
2009,F3,Forest,8,7,1,South,Sitka valerian,Valeriana sitchensis,122,13,2
2009,F3,Forest,8,7,1,South,alpine buttercup,Ranunculus escholtzii,7,7,2
2009,F3,Forest,8,7,1,South,Purple violet,Viola adunca,2,2,2
2009,F3,Forest,8,7,1,South,arnica,Arnica sp.,3,3,2
2009,F3,Forest,8,7,1,South,Alpine American Speedwell,Veronica wormskjoldii,4,2,2
2009,F3,Forest,8,7,1,East,Sitka valerian,Valeriana sitchensis,250,43,2
2009,F3,Forest,8,7,1,East,pink mountain heather,Phyllodoce empetriformis,105,7,2
2009,F3,Forest,8,7,1,East,buttercup,Ranunculus repens,76,37,2
2009,F3,Forest,8,7,1,East,arctic lupin,Lupinus arcticus ,1193,80,2
2009,F4,Forest,8,7,1,East,arctic lupin,Lupinus arcticus ,13,1,0
2009,F4,Forest,8,7,1,East,pink mountain heather,Phyllodoce empetriformis,147,8,0
2009,F4,Forest,8,7,1,South,tiny vaccinium ,Vaccinium caespitosum,10,5,0
2009,F4,Forest,8,7,1,South,Sitka valerian,Valeriana sitchensis,188,15,0
2009,F4,Forest,8,7,1,South,arctic lupin,Lupinus arcticus ,584,34,0
2009,F4,Forest,8,7,1,South,Marsh Marigold,Caltha leptosepala,1,1,0
2009,F4,Forest,8,7,1,South,wooly hawkweed,Hieracium triste,3,3,0
2009,F4,Forest,8,7,1,South,Small flowered penstemon,Penstemon procerus,8,1,0
2009,F4,Forest,8,7,1,South,buttercup,Ranunculus repens,7,7,0
2009,F4,Forest,8,7,1,South,pink mountain heather,Phyllodoce empetriformis,206,14,0
2009,F4,Forest,8,7,1,South,white mountain heather,Cassiope mertensiana,505,10,0
2009,F4,Forest,8,7,1,South,Bracted lousewort,Pedicularis bracteosa,7,1,0
2009,F4,Forest,8,7,1,North,wooly hawkweed,Hieracium triste,2,2,0
2009,F4,Forest,8,7,1,North,Diverse leaf cinquefoil,Potentilla diversifolia,34,32,0
2009,F4,Forest,8,7,1,North,Alpine American Speedwell,Veronica wormskjoldii,41,17,0
2009,F4,Forest,8,7,1,North,tiny vaccinium ,Vaccinium caespitosum,287,90,0
2009,F4,Forest,8,7,1,North,pink mountain heather,Phyllodoce empetriformis,179,106,0
2009,F4,Forest,8,7,1,North,white mountain heather,Cassiope mertensiana,362,176,0
